RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-2651312	-3659795	65.74799	-17.382212	65:44:53N	17:22:56W	28WCT9083593890	NQ27-11	S	FRM		IC	40				N				ONDOLFSSTADHIR	Öndólfsstaðir	Ondolfsstadhir	ONDOLFSSTADHIR	Öndólfsstaðir	Ondolfsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647209	-3655284	65.932155	-17.521159	65:55:56N	17:31:16W	28WCU8529414653	NQ27-11	S	FRM		IC	40				N				HRAUNKOT	Hraunkot	Hraunkot	HRAUNKOT	Hraunkot	Hraunkot		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647149	-3655220	65.839457	-17.362006	65:50:22N	17:21:43W	28WCU9214304044	NQ27-11	S	FRM		IC	40				N				HRAUN	Hraun	Hraun	HRAUN	Hraun	Hraun		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2642969	-3650610	65.617401	-16.627911	65:37:03N	16:37:40W	28WDT2501678236	NQ27-11	T	LAVA		IC	40				N				BURFELLSHRAUN	Búrfellshraun	Burfellshraun	BURFELLSHRAUN	Búrfellshraun	Burfellshraun		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2643824	-3651565	65.622533	-16.644147	65:37:21N	16:38:39W	28WDT2428378827	NQ27-11	T	LAVA		IC	40				N				FALKAKLETTUR	Fálkaklettur	Falkaklettur	FALKAKLETTUR	Fálkaklettur	Falkaklettur		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2649496	-3657798	65.904183	-15.824155	65:54:15N	15:49:27W	28WDU6245509477	NQ27-12	T	RDGE		IC	40				N				LANGAS	Langás	Langas	LANGAS	Langás	Langas		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2646026	-3653975	66.006208	-15.554266	66:00:22N	15:33:15W	28WDU7485020713	NQ27-07	T	RDGE		IC	40				N				HAVARDHSTUNGA	Hávarðstunga	Havardhstunga	HAVARDHSTUNGA	Hávarðstunga	Havardhstunga		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2650982	-3659416	66.118013	-15.479684	66:07:05N	15:28:47W	28WDU7833033147	NQ27-07	T	RDGE		IC	40				N				NONAS	Nónás	Nonas	NONAS	Nónás	Nonas		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2647138	-3655209	65.541468	-17.469475	65:32:29N	17:28:10W	28WCT8593371040	NQ27-11	S	FRM		IC	40				N				HRAPPSSTADHIR	Hrappsstaðir	Hrappsstadhir	HRAPPSSTADHIR	Hrappsstaðir	Hrappsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
1	-2651235	-3659707	65.844907	-17.543938	65:50:42N	17:32:38W	28WCU8386404976	NQ27-11	S	FRM		IC	40				N				OFEIGSSTADHIR	Ófeigsstaðir	Ofeigsstadhir	OFEIGSSTADHIR	Ófeigsstaðir	Ofeigsstadhir		2011-02-09	1,2,3,4,5	1			1993-09-01		
